,title,publisher,writer,price
0,Python,Abaküs Kitap,Ahmet Aksoy,"123,95 TL"
1,Python 3,Dikeyeksen Yayın Dağıtım,Mustafa Başer,"180,00 TL"
2,Python Öğreniyorum,Kodlab Yayın Dağıtım,Onur Sevli,"115,50 TL"
3,Python Eğitim Seti,Kodlab Yayın Dağıtım,Gökhan Su,"76,23 TL"
4,Python ile Ekonometri,Kodlab Yayın Dağıtım,Kolektif,"295,68 TL"
5,Python Eğitim Kitabı,Abaküs Kitap,Engin Sorhun,"100,50 TL"
6,Python ile Programlamaya Giriş,Dikeyeksen Yayın Dağıtım,Volkan Taşçı,"216,00 TL"
7,Python İle Veri Madenciliği,Seçkin Yayıncılık,Olcay Taner Yıldız,"91,35 TL"
8,Python İle Finansa Giriş,Kodlab Yayın Dağıtım,Caner Erden,"103,95 TL"
9,Python ile Derin Öğrenme,Paradigma Akademi Yayınları,Süleyman Gökhan Günay,"84,70 TL"
10,Python ile Makine Öğrenmesi,Buzdağı Yayınevi,François Chollet,"565,50 TL"
11,Python Projeler ve Popüler Kütüphaneler,Abaküs Kitap,Engin Sorhun,"123,95 TL"
12,Python ile Çocuklar İçin Programlama,Kodlab Yayın Dağıtım,Burak Yıldız,"192,50 TL"
13,Python ile Soru Çözüm Kitabı,Dikeyeksen Yayın Dağıtım,Mustafa Murat Coşkun,"108,00 TL"
14,Python ile Uçtan Uca Veri Bilimi,Nobel Akademik Yayıncılık,Eftal Şehirli,"84,70 TL"
15,Python ile Sıkıcı İşleri Anında Bitir,Dikeyeksen Yayın Dağıtım,Engin Bozaba,"144,00 TL"
16,Python Uygulamalı İstatiksel Veri Bilimi ve Analizi,Buzdağı Yayınevi,Al Sweigart,"565,50 TL"
17,Süper Python Seti,Akademisyen Kitabevi,Ahmet Sel,"164,00 TL"
18,Kapsamlı Python Kursu,Kodlab Yayın Dağıtım,Kolektif,"488,18 TL"
19,Python ve Kivy İle Cross Platform Uygulama Geliştirme,Buzdağı Yayınevi,Eric Matthes,"565,50 TL"
20,Python ile İmgeden Veriye Görüntü İşleme ve Uygulamaları,Level Kitap,Yahya Kesenek,"170,97 TL"
21,"Python, Veri Bilimi ve Yapay Zeka Seti 5 Kitap",Nobel Akademik Yayıncılık,Bekir Aksoy,"84,70 TL"
22,Süper Python Seti 3 7 Kitap Takım,Dikeyeksen Yayın Dağıtım,Mustafa Başer,"453,60 TL"
23,Süper Python Seti 2 5 Kitap Takım,Kodlab Yayın Dağıtım,Kolektif,"923,23 TL"
24,Herkes İçin Python,Kodlab Yayın Dağıtım,Kolektif,"680,68 TL"
25,Çocuklar İçin Python,Pusula Yayıncılık,Bülent Çobanoğlu,"81,40 TL"
26,İşletmeler İçin Python Uygulamaları,Pusula Yayıncılık,Bülent Çobanoğlu,"66,60 TL"
27,OpenCV ve Python ile Görüntü İşleme,Nobel Akademik Yayıncılık,Can Aydın,"69,30 TL"
28,Uygulamalar İle Python ve Yapay Zeka,Seçkin Yayıncılık,Murat Işık,"194,01 TL"
29,C# ve Python ile Programlama,Nobel Akademik Yayıncılık,Emrah Aydemir,"146,30 TL"
30,Çocuklar için Kodlama: Python,Ekin Basım Yayın,İsmail Sarı,"108,75 TL"
31,Veri Bilimi İçin Python,Sola Kidz,Adrienne Tacke,"190,08 TL"
32,OpenCV ve Python ile Eğlenceli Projeler ve Oyunlar Eğitim Videolu,Kodlab Yayın Dağıtım,Bülent Çobanoğlu,"138,60 TL"
33,Yeni Başlayanlar İçin Python 3 Temel Kavramlar,Abaküs Kitap,Ahmet Aksoy,"67,00 TL"
34,Örnek Uygulamalar İle Python Programlama Makine Öğrenmesi,Seçkin Yayıncılık,Timur Karaçay,"180,40 TL"
35,C# Java ve Python ile Programlamaya Dalış,Gece Kitaplığı,Kolektif,"117,42 TL"
36,Text Mining with Python for Introduction to Project Management Maturity,Ekin Basım Yayın,İhsan Özer,"52,20 TL"
37,Makine Öğrenmesi Teorik Yönleri ve Python Uygulamaları,Nobel Akademik Yayıncılık,Emre S. Özmen,"88,55 TL"
38,Çocuklar İçin Raspberry Pi ve Python ile Programlama,Nobel Akademik Yayıncılık,Sinan Uğuz,"154,00 TL"
39,Denetimli Makine Öğrenmesi Algoritmaları - R ve Python Uygulamaları,Abaküs Kitap,Ahmet Aksoy,"77,05 TL"
40,Python İle Programlama,Nobel Akademik Yayıncılık,Nuran Bayram Arlı,"107,80 TL"
41,Python Programlama Temelleri,İkinci Adam Yayınları,Efe Koca,"93,00 TL"
42,Python Tabanlı Algoritma,Unikod,Erdal Delebe,"112,00 TL"
43,Python ile Finans Matematiği,Kodlab Yayın Dağıtım,Kadir Çamoğlu,"154,00 TL"
44,Python İle Yapay Zekaya Giriş,Paradigma Akademi Yayınları,Süleyman Gökhan Günay,"96,25 TL"
45,Python İle Algoritma Ve Programlama,Seçkin Yayıncılık,Ömer Deperlioğlu,"181,83 TL"
46,Python ile Gömülü Sistemlerde Arduino için Arayüz Geliştirme,Kodlab Yayın Dağıtım,Kubilay Erkeç,"103,95 TL"
47,Python ile Arduino için Arayüz Geliştirme Seti 2 Kitap,Dikeyeksen Yayın Dağıtım,Yılmaz Alaca,"180,00 TL"
48,Python Tabanlı QGIS-Whitebox Eklentisi Aracıyla Lidar Verilerinden Bina Çıkarımı,Dikeyeksen Yayın Dağıtım,Yılmaz Alaca,"288,00 TL"
49,Denizcilik Perspektifinden Python Program Dilinin Temelleri,Nobel Bilimsel Eserler,Nuray Baş,"53,90 TL"
50,Bulanık Mantık ve Python Uygulamaları,Nobel Bilimsel Eserler,Gizem Kodak,"65,45 TL"
51,Text Mining Applications Using Real - World Data in Python,İstanbul Gelişim Üniversitesi Yayınları,Ali Çetinkaya,"242,55 TL"
52,Çok Kriterli Karar Verme: Python Programlama Dili ile Uygulama,Nobel Akademik Yayıncılık,Gokhan Bakal,"53,90 TL"
53,Mühendislik Teknoloji Temel Bilimler ve Uygulamalı Bilimler Fakülteleri İçin Python ve Matlab ile Bilişi Matematiği,Gazi Kitabevi,Algın Okursoy,"43,46 TL"
